business_name,category,city,address,phone,source
Bath Coaching Classes,tutors,Kolkata,"H.No. 31, Chaudhry Nagar, Panihati 507856",+91 79242 81921,Justdial
QuickFix Plumbing,plumbers,Ahmedabad,"H.No. 840, Bains Circle, Tiruvottiyur-202812",+91 90663 67592,Justdial
Apna Bazar,grocery stores,Chennai,"932, Dada Ganj, Jaunpur-689815",059-22822109,Google
Nilima's Academy,tutors,Kolkata,"78, Chakraborty Chowk, Bhalswa Jahangir Pur-422825",+91 89885 45168,Google
Tap & Pipe Solutions,plumbers,Ahmedabad,"H.No. 13, Hayre Marg, Gurgaon 961723",+91 75971 24001,Justdial
QuickFix Plumbing,plumbers,Ahmedabad,"H.No. 696, Behl Circle, Sirsa-842709",071-27547740,Sulekha
Mahal Clinic,clinics,Hyderabad,,+91 92551 38067,Sulekha
Shine Beauty Parlour,salons,Delhi,"H.No. 810, Basak Circle, Mathura-762608",047-27062619,Justdial
Daksh Mart,grocery stores,Chennai,"410, Pandey Street, Karimnagar-828878",052-23587577,Google
Bright Light Electricals,electricians,Bengaluru,"H.No. 56, Chadha Zila, Tadipatri 631915",+91 72732 48841,Google
Bright Future Academy,tutors,Kolkata,"64/236, Apte Zila, Mathura 857750",+91 72989 58242,Justdial
FitLife Studio,gyms,Pune,"H.No. 94, Barman Nagar, Bathinda 847458",+91 94819 54350,Sulekha
Tandoori Nights,restaurants,Mumbai,"H.No. 93, Modi Circle, Nagaon-903125",+91 73674 58358,Google
Arogya Medical Centre,clinics,Hyderabad,"H.No. 79, Ganesan Road, Pudukkottai-465323",+91 75319 67052,Sulekha
Nori Hair Studio,salons,Delhi,"872, Madan Nagar, Mehsana-851915",+91 83579 23718,Google
FlowRight Plumber Services,plumbers,Ahmedabad,"690, Dara Nagar, Pudukkottai 924897",,Sulekha
Elite Tutorials,tutors,Kolkata,"H.No. 49, Bhatti Nagar, Sambalpur-110286",+91 86340 64686,Sulekha
Glow & Style,salons,Delhi,"49, Walla Chowk, Navi Mumbai 809291",,Justdial
Sparky Electric Services,electricians,Bengaluru,"H.No. 10, Vala, Varanasi 691234",+91 85402 77964,Sulekha
Mumbai Fitness Club,gyms,Pune,"H.No. 56, Sethi Chowk, Mau 870057",058-27900995,Justdial
Arogya Medical Centre,clinics,Hyderabad,"H.No. 94, Mand Zila, Eluru 247839",+91 87702 66143,Google
Lavanya's Bistro,restaurants,Mumbai,"H.No. 695, Murthy, Dehri-747667",+91 77371 29293,Sulekha
Mumbai Fitness Club,gyms,Pune,"69/84, Krishnamurthy Circle, Kharagpur 301069",+91 72474 21898,Justdial
Volt Power Solutions,electricians,Bengaluru,"H.No. 320, Khosla Marg, Karimnagar-302163",+91 83479 11239,Google
Dr. Gabriel's Clinic,clinics,Hyderabad,"H.No. 196, Manda Ganj, Bangalore 174918",+91 87678 36233,Sulekha
Sura Gym & Fitness,gyms,Pune,"03/632, Agate Marg, Yamunanagar-747138",+91 99011 29199,Justdial
Royal Darbar,restaurants,Mumbai,,080-20910176,Justdial
Flavors of India,restaurants,Mumbai,"863, Bir Ganj, Phagwara-834753",+91 76681 27091,Google
Tandoori Nights,restaurants,Mumbai,"92/712, Ramesh Chowk, Suryapet 360946",026-29595676,Sulekha
Tap & Pipe Solutions,plumbers,Ahmedabad,,+91 86662 93181,Sulekha
Sparky Electric Services,electricians,Bengaluru,"180, Bawa Chowk, Gaya 485273",+91 75288 11145,Sulekha
William's Academy,tutors,Kolkata,"13/94, Andra Circle, Raipur-004512",+91 77897 40093,Google
Walla Clinic,clinics,Hyderabad,"43/20, Rout Street, Purnia 052041",+91 88091 47981,Google
FitLife Studio,gyms,Pune,"H.No. 318, Mutti Street, Fatehpur 692837",037-24122453,Google
Khanna Plumbers,plumbers,Ahmedabad,"74/455, Patla Ganj, Mira-Bhayandar-797955",063-26306729,Sulekha
Basak Gym & Fitness,gyms,Pune,"20/07, Rai Road, Tumkur 178684",+91 83649 22538,Sulekha
Toor Plumbers,plumbers,Ahmedabad,"H.No. 12, Nayak Zila, Dehri-660699",030-20349321,Justdial
Bera Coaching Classes,tutors,Kolkata,"75/68, Gill Path, Rajahmundry 627981",+91 79256 94643,Google
QuickFix Plumbing,plumbers,Ahmedabad,"03/005, Buch Nagar, Jalandhar 200262",+91 96421 45898,Justdial
Shine Beauty Parlour,salons,Delhi,"32/31, Mahal Zila, Surat-770291",+91 84453 60813,Google
FlowRight Plumber Services,plumbers,Ahmedabad,"H.No. 527, Raj Ganj, Mathura 938999",+91 78709 71824,Sulekha
